_id,Year,Province,Grade,Male,Female
402,2013.0,Gilgit-Baltistan,21,1,0
403,2014.0,Punjab,22,1,0
404,2014.0,Punjab,21,5,0
405,2014.0,Punjab,20,39,3
406,2014.0,Punjab,19,410,47
407,2014.0,Punjab,18,1537,189
408,2014.0,Punjab,17,4126,1670
409,2014.0,Punjab,16,2626,813
410,2014.0,Punjab,15,238,10
411,2014.0,Punjab,14,3069,215
412,2014.0,Punjab,13,49,10
413,2014.0,Punjab,12,431,64
414,2014.0,Punjab,11,3712,1085
415,2014.0,Punjab,10,107,139
416,2014.0,Punjab,9,6257,1158
417,2014.0,Punjab,8,456,215
418,2014.0,Punjab,7,2725,101
419,2014.0,Punjab,6,1064,239
420,2014.0,Punjab,5,3908,1950
421,2014.0,Punjab,4,2157,69
422,2014.0,Punjab,3,599,58
423,2014.0,Punjab,2,4181,196
424,2014.0,Punjab,1,19418,2324
425,2014.0,Sindh,21,1,0
426,2014.0,Sindh,20,9,0
427,2014.0,Sindh,19,71,39
428,2014.0,Sindh,18,208,97
429,2014.0,Sindh,17,426,131
430,2014.0,Sindh,16,239,90
431,2014.0,Sindh,15,12,0
432,2014.0,Sindh,14,524,119
433,2014.0,Sindh,13,6,0
434,2014.0,Sindh,12,74,0
435,2014.0,Sindh,11,382,458
436,2014.0,Sindh,10,4,0
437,2014.0,Sindh,9,248,1
438,2014.0,Sindh,8,13,673
439,2014.0,Sindh,7,686,106
440,2014.0,Sindh,6,41,0
441,2014.0,Sindh,5,1555,1037
442,2014.0,Sindh,4,172,0
443,2014.0,Sindh,3,24,0
444,2014.0,Sindh,2,1995,1200
445,2014.0,Sindh,1,1890,2
446,2014.0,KPK,21,14,1
447,2014.0,KPK,20,69,1
448,2014.0,KPK,19,77,2
449,2014.0,KPK,18,157,7
450,2014.0,KPK,17,678,34
451,2014.0,KPK,16,553,15
452,2014.0,KPK,14,328,5
453,2014.0,KPK,11,267,7
454,2014.0,Balochistan,22,1,
455,2014.0,Balochistan,21,9,
456,2014.0,Balochistan,20,43,
457,2014.0,Balochistan,19,141,1
458,2014.0,Balochistan,18,464,40
459,2014.0,Balochistan,17,1463,40
460,2014.0,Balochistan,16,953,23
461,2014.0,Balochistan,15,164,1
462,2014.0,Balochistan,14,1050,30
463,2014.0,Balochistan,13,32,
464,2014.0,Balochistan,12,211,10
465,2014.0,Balochistan,11,1681,62
466,2014.0,Balochistan,10,8,1
467,2014.0,Balochistan,9,514,26
468,2014.0,Balochistan,8,443,11
469,2014.0,Balochistan,7,345,2
470,2014.0,Balochistan,6,2292,15
471,2014.0,Balochistan,5,1983,3
472,2014.0,Balochistan,4,890,5
473,2014.0,Balochistan,3,228,
474,2014.0,Balochistan,2,2707,24
475,2014.0,Balochistan,1,6697,101
476,2014.0,Gilgit-Baltistan,20,1,
477,2014.0,Gilgit-Baltistan,19,10,
478,2014.0,Gilgit-Baltistan,18,29,1
479,2014.0,Gilgit-Baltistan,17,56,5
480,2014.0,Gilgit-Baltistan,16,96,6
481,2014.0,Gilgit-Baltistan,15,32,
482,2014.0,Gilgit-Baltistan,14,8,
483,2014.0,Gilgit-Baltistan,13,47,10
484,2014.0,Gilgit-Baltistan,11,27,
485,2014.0,Gilgit-Baltistan,10,34,
486,2014.0,Gilgit-Baltistan,8,45,
487,2014.0,Gilgit-Baltistan,7,1,10
488,2014.0,Gilgit-Baltistan,6,148,
489,2014.0,Gilgit-Baltistan,5,1,
490,2014.0,Gilgit-Baltistan,4,86,3
491,2014.0,Gilgit-Baltistan,3,26,
492,2014.0,Gilgit-Baltistan,2,3,
493,2014.0,Gilgit-Baltistan,1,105,
494,2015.0,Punjab,22,1,0
495,2015.0,Punjab,21,5,0
496,2015.0,Punjab,20,37,5
497,2015.0,Punjab,19,441,48
498,2015.0,Punjab,18,1503,185
499,2015.0,Punjab,17,4473,1798
500,2015.0,Punjab,16,2615,957
501,2015.0,Punjab,15,202,8
502,2015.0,Punjab,14,3180,246
503,2015.0,Punjab,13,49,6
504,2015.0,Punjab,12,444,67
505,2015.0,Punjab,11,3506,1118
506,2015.0,Punjab,10,106,112
507,2015.0,Punjab,9,6448,1181
508,2015.0,Punjab,8,238,192
509,2015.0,Punjab,7,2660,147
510,2015.0,Punjab,6,1022,216
511,2015.0,Punjab,5,3861,1952
512,2015.0,Punjab,4,2236,80
513,2015.0,Punjab,3,626,59
514,2015.0,Punjab,2,4116,194
515,2015.0,Punjab,1,19440,1233
516,2015.0,Sindh,21,1,0
517,2015.0,Sindh,20,10,
518,2015.0,Sindh,19,71,39
519,2015.0,Sindh,18,208,96
520,2015.0,Sindh,17,431,131
521,2015.0,Sindh,16,233,90
522,2015.0,Sindh,15,12,1
523,2015.0,Sindh,14,480,119
524,2015.0,Sindh,13,6,0
525,2015.0,Sindh,12,80,1
526,2015.0,Sindh,11,403,458
527,2015.0,Sindh,10,3,0
528,2015.0,Sindh,9,347,1
529,2015.0,Sindh,8,2,673
530,2015.0,Sindh,7,703,108
531,2015.0,Sindh,6,41,0
532,2015.0,Sindh,5,1582,1037
533,2015.0,Sindh,4,181,0
534,2015.0,Sindh,3,13,0
535,2015.0,Sindh,2,1972,1199
536,2015.0,Sindh,1,1910,1
537,2015.0,KPK,21,13,1
538,2015.0,KPK,20,56,1
539,2015.0,KPK,19,108,7
540,2015.0,KPK,18,161,8
541,2015.0,KPK,17,661,34
542,2015.0,KPK,16,566,18
543,2015.0,KPK,14,335,6
544,2015.0,KPK,11,281,7
545,2015.0,Balochistan,22,1,
546,2015.0,Balochistan,21,9,
547,2015.0,Balochistan,20,44,
548,2015.0,Balochistan,19,146,2
549,2015.0,Balochistan,18,468,7
550,2015.0,Balochistan,17,1486,37
551,2015.0,Balochistan,16,1032,25
552,2015.0,Balochistan,15,252,
553,2015.0,Balochistan,14,1065,31
554,2015.0,Balochistan,13,32,
555,2015.0,Balochistan,12,262,13
556,2015.0,Balochistan,11,1824,67
557,2015.0,Balochistan,10,8,2
558,2015.0,Balochistan,9,625,29
